Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
-0.207332829,1.393899348,-1.251384397,-0.369178459,0.855622741,-0.109326248,1,1,-0.523913432,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
-0.207332829,-0.282345639,0.540888814,0.285432504,-0.554485821,0.938651774,1,0,-0.968086059,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
-1.000099176,-0.282345639,1.43702542,-0.369178459,-0.984363874,0.369092148,1,0,-2.117377985,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1
-0.207332829,1.393899348,-1.251384397,0.285432504,0.171118215,-0.285896243,1,1,0.431350918,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0
-1.000099176,-1.120468133,2.333162026,-0.05048628,0.855622741,0.653307566,1,1,0.68149597,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1
0.585433518,-0.282345639,-0.355247792,0.285432504,0.06676936,-0.39890693,1,0,-0.523913432,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1
-0.207332829,-0.282345639,0.540888814,-0.670644035,0.704860694,0.113125638,1,1,1.034055619,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
-1.792865522,3.070144335,-1.251384397,-0.05048628,0.237824408,-0.65487344,1,0,0.078791269,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1
-1.000099176,2.232021841,-1.251384397,-1.919572846,0.36501311,0.414974039,1,0,-0.523913432,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1
0.585433518,0.555776854,-1.251384397,-0.670644035,-2.013617394,0.347845242,1,1,0.078791269,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1
-0.207332829,0.555776854,-0.355247792,-0.369178459,-1.238990347,-3.440577601,1,0,1.034055619,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
0.585433518,0.555776854,-1.251384397,-0.670644035,-1.107695977,0.268448728,0,0,-0.968086059,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0
-1.000099176,1.393899348,-0.355247792,-1.221895372,0.542025282,0.473123648,1,1,-1.320645707,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1
-1.000099176,0.555776854,0.540888814,-1.704240293,-0.005893957,0.684550257,1,0,0.306922003,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
-1.000099176,0.555776854,0.540888814,0.285432504,-1.238990347,-0.255851559,1,1,0.078791269,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
-1.000099176,0.555776854,0.540888814,-0.954883006,-0.04322265,0.718374938,0,0,1.284200669,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
-0.207332829,0.555776854,-0.355247792,-0.954883006,0.625071777,0.375950168,1,1,0.078791269,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
-1.792865522,3.070144335,-1.251384397,0.638577892,-0.282835347,0.045996841,0,0,-0.523913432,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1
-0.207332829,1.393899348,-1.251384397,-1.221895372,2.805055011,0.684550257,1,1,0.803021646,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
0.585433518,-1.120468133,0.540888814,0.638577892,0.171118215,0.015952158,0,1,0.078791269,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
-1.000099176,0.555776854,0.540888814,-1.704240293,0.171118215,0.849808572,1,0,0.078791269,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
0.585433518,-1.120468133,0.540888814,-0.369178459,0.704860694,0.382701856,1,1,0.68149597,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
-0.207332829,-0.282345639,0.540888814,0.638577892,0.542025282,-0.033399673,1,1,-0.717941008,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1
