,index,date,movieCd,audiCnt,scrnCnt,showCnt
240,0,20190125,20182530,386371,1741,9467
241,1,20190125,20184105,38664,826,2716
242,2,20190125,20176251,20908,627,1976
243,3,20190125,20189463,10887,405,625
244,4,20190125,20182544,8388,426,915
245,5,20190125,20186324,5597,286,340
246,6,20190125,20185485,5062,212,305
247,7,20190125,20180868,4787,34,34
248,8,20190125,20189385,4291,304,397
249,9,20190125,20184574,3866,137,230
250,0,20190126,20182530,995406,1910,10462
251,1,20190126,20185124,100191,224,825
252,2,20190126,20184105,80123,810,2562
253,3,20190126,20176251,35366,617,1668
254,4,20190126,20189463,29395,497,751
255,5,20190126,20182544,13897,358,679
256,6,20190126,20189385,9459,344,469
257,7,20190126,20186324,9406,293,344
258,8,20190126,20183915,7624,194,247
259,9,20190126,20184574,7285,129,206
260,0,20190127,20182530,1033089,1978,10631
261,1,20190127,20185124,81912,212,771
262,2,20190127,20184105,69004,783,2384
263,3,20190127,20176251,31245,602,1522
264,4,20190127,20189463,29734,482,748
265,5,20190127,20182544,11591,349,633
266,6,20190127,20186324,9187,292,344
267,7,20190127,20183915,7878,197,256
268,8,20190127,20189385,7778,316,423
269,9,20190127,20184574,6466,124,198
270,0,20190128,20182530,397188,1766,9914
271,1,20190128,20185124,26513,162,514
272,2,20190128,20184105,24255,760,2295
273,3,20190128,20176251,14309,589,1603
274,4,20190128,20189463,6686,380,602
275,5,20190128,20185881,5028,20,20
276,6,20190128,20182544,4926,353,674
277,7,20190128,20185485,4122,200,291
278,8,20190128,20184896,4067,101,216
279,9,20190128,20184574,3598,134,216
280,0,20190129,20182530,358186,1827,10033
281,1,20190129,20185124,25240,161,519
282,2,20190129,20184105,25202,783,2302
283,3,20190129,20176251,15429,570,1578
284,4,20190129,20189463,7590,398,616
285,5,20190129,20185485,5666,207,300
286,6,20190129,20182544,5430,348,695
287,7,20190129,20184896,4470,111,224
288,8,20190129,20184574,4134,137,214
289,9,20190129,20196263,3127,17,17
290,0,20190130,20182530,564825,1574,7882
291,1,20190130,20180868,253727,1285,5362
292,2,20190130,20186261,124517,930,3530
293,3,20190130,20184105,21211,391,818
294,4,20190130,20185124,18491,132,282
295,5,20190130,20184896,5168,76,161
296,6,20190130,20184574,3227,58,92
297,7,20190130,20176251,2895,117,165
298,8,20190130,20174169,1972,5,9
299,9,20190130,20189463,1626,62,78
300,0,20190131,20182530,350685,1548,7878
301,1,20190131,20180868,122748,1186,4923
302,2,20190131,20186261,68834,895,3198
303,3,20190131,20185478,48839,622,1526
304,4,20190131,20185124,10332,123,269
305,5,20190131,20184105,9897,338,688
306,6,20190131,20185881,5989,46,46
307,7,20190131,20174169,4022,15,15
308,8,20190131,20184896,3329,64,131
309,9,20190131,20184274,2194,10,10
310,0,20190201,20182530,462875,1701,8829
311,1,20190201,20180868,131301,1134,4577
312,2,20190201,20186261,74501,886,3247
313,3,20190201,20185478,28939,595,1428
314,4,20190201,20185124,10696,118,262
315,5,20190201,20184105,10617,318,645
316,6,20190201,20188282,4193,31,31
317,7,20190201,20184574,3750,89,138
318,8,20190201,20184896,3391,64,134
319,9,20190201,20176251,1817,81,112
320,0,20190202,20182530,962555,1890,10140
321,1,20190202,20180868,219180,1083,4088
322,2,20190202,20186261,179529,963,3298
323,3,20190202,20185478,134911,731,1814
324,4,20190202,20184105,16107,281,531
325,5,20190202,20185124,14831,110,226
326,6,20190202,20184574,6293,82,134
327,7,20190202,20184896,5628,67,128
328,8,20190202,20185881,3335,14,18
329,9,20190202,20188282,2600,15,15
330,0,20190203,20182530,1058680,1949,10419
331,1,20190203,20180868,221789,1060,3824
332,2,20190203,20186261,166677,971,3267
333,3,20190203,20185478,94623,752,1875
334,4,20190203,20184105,18715,286,525
335,5,20190203,20185124,11001,108,214
336,6,20190203,20184574,6550,83,128
337,7,20190203,20184896,6079,68,132
338,8,20190203,20188282,3390,15,15
339,9,20190203,20185881,2846,14,17
340,0,20190204,20182530,975927,2003,10906
341,1,20190204,20180868,180905,996,3583
342,2,20190204,20186261,123409,952,3170
343,3,20190204,20185478,50787,690,1700
344,4,20190204,20184105,19166,281,511
345,5,20190204,20184574,6841,86,136
346,6,20190204,20185124,6127,100,169
347,7,20190204,20184896,6102,61,134
348,8,20190204,20185485,2016,44,51
349,9,20190204,20176251,1994,64,88
350,0,20190205,20182530,1130176,1844,10199
351,1,20190205,20188282,264263,919,3456
352,2,20190205,20180868,162519,802,2540
353,3,20190205,20186261,76624,800,2171
354,4,20190205,20185478,25536,542,1139
355,5,20190205,20184105,14371,179,313
356,6,20190205,20184574,6278,80,128
357,7,20190205,20184896,4827,55,124
358,8,20190205,20185124,3982,68,105
359,9,20190205,20185485,1581,32,36
360,0,20190206,20182530,1131697,1835,9924
361,1,20190206,20188282,282430,1004,3523
362,2,20190206,20180868,148122,786,2340
363,3,20190206,20186261,117834,770,1918
364,4,20190206,20185478,54313,543,1037
365,5,20190206,20185444,23045,442,675
366,6,20190206,20184105,12231,177,286
367,7,20190206,20184574,6652,81,124
368,8,20190206,20185124,6455,62,95
369,9,20190206,20184896,6168,64,129
370,0,20190207,20182530,460448,1558,8509
371,1,20190207,20188282,119475,966,3905
372,2,20190207,20180868,61925,761,2415
373,3,20190207,20186261,38600,694,1740
374,4,20190207,20185478,8591,398,618
375,5,20190207,20185444,5639,408,603
376,6,20190207,20185124,3520,48,71
377,7,20190207,20184105,3419,147,252
378,8,20190207,20184896,3110,80,137
379,9,20190207,20184574,2755,73,119
380,0,20190208,20182530,409794,1595,8784
381,1,20190208,20188282,114672,994,4039
382,2,20190208,20180868,53774,734,2344
383,3,20190208,20186261,35556,692,1651
384,4,20190208,20185478,7492,393,584
385,5,20190208,20185444,5610,379,538
386,6,20190208,20174169,5271,19,22
